decision,reaction ID,genes,spore,mother,name,reaction,reaction_with_names
keep,MALt10,BSU23560,0.002152269,0,Malate HNa lactate antiporter,2.0 h_e + lac__L_c + mal__L_e + na1_c --> 2.0 h_c + lac__L_e + mal__L_c + na1_e,2.0 H+ + L-Lactate + L-Malate + Sodium --> 2.0 H+ + L-Lactate + L-Malate + Sodium
keep,FACOAL150_ISO,BSU10360 or BSU18250 or BSU28560 or BSU10270,0.002006485,0,Fatty acid  CoA ligase  Iso C150 ,atp_c + coa_c + fa3_c <=> amp_c + fa3coa_c + ppi_c,ATP C10H12N5O13P3 + Coenzyme A + Fatty acid (Iso-C15:0) <=> AMP C10H12N5O7P + Iso C150 CoA C36H60N7O17P3S1 + Diphosphate
keep,KAS3,(BSU15900 and BSU11340 and BSU15910 and BSU10170 and BSU08650 and BSU36370) or (BSU15900 and BSU11340 and BSU15910 and BSU11330 and BSU11720 and BSU04030),0.002006485,0,B-ketoacyl synthetase (Iso-C15:0),14.0 h_c + ivcoa_c + 5.0 malcoa_c + 10.0 nadph_c --> 5.0 co2_c + 6.0 coa_c + fa3_c + 4.0 h2o_c + 10.0 nadp_c,14.0 H+ + Isovaleryl-CoA + 5.0 Malonyl CoA C24H33N7O19P3S + 10.0 Nicotinamide adenine dinucleotide phosphate - reduced --> 5.0 CO2 CO2 + 6.0 Coenzyme A + Fatty acid (Iso-C15:0) + 4.0 H2O H2O + 10.0 Nicotinamide adenine dinucleotide phosphate
keep,PUNP3,BSU23490 or BSU19630,0.001876491,-0.001876491,Purine-nucleoside phosphorylase (Guanosine),gsn_c + pi_c <=> gua_c + r1p_c,Guanosine + Phosphate <=> Guanine + Alpha-D-Ribose 1-phosphate
keep,GK1,BSU15680,0.001772157,0.021635428,Guanylate kinase (GMP:ATP),atp_c + gmp_c <=> adp_c + gdp_c,ATP C10H12N5O13P3 + GMP C10H12N5O8P <=> ADP C10H12N5O10P2 + GDP C10H12N5O11P2
keep,FACOAL170_anteiso,BSU28560 or BSU10270 or BSU10360 or BSU18250,0.001705512,0,Fatty acid  CoA ligase  anteiso C170 ,atp_c + coa_c + fa12_c <=> amp_c + fa12coa_c + ppi_c,ATP C10H12N5O13P3 + Coenzyme A + Fatty acid (Anteiso-C17:0) <=> AMP C10H12N5O7P + Anteiso C170 CoA C38H64N7O17P3S1 + Diphosphate
keep,KAS12,(BSU15900 and BSU11340 and BSU15910 and BSU11720 and BSU04030) or (BSU15900 and BSU11340 and BSU15910 and BSU10170 and BSU08650 and BSU36370),0.001705512,0,B-ketoacyl synthetase (Anteiso-C17:0),2mbcoa_c + 17.0 h_c + 6.0 malcoa_c + 12.0 nadph_c --> 6.0 co2_c + 7.0 coa_c + fa12_c + 5.0 h2o_c + 12.0 nadp_c,2-Methylbutanoyl-CoA + 17.0 H+ + 6.0 Malonyl CoA C24H33N7O19P3S + 12.0 Nicotinamide adenine dinucleotide phosphate - reduced --> 6.0 CO2 CO2 + 7.0 Coenzyme A + Fatty acid (Anteiso-C17:0) + 5.0 H2O H2O + 12.0 Nicotinamide adenine dinucleotide phosphate
keep,DGK1,BSU15680,0.001531463,0,Deoxyguanylate kinase (dGMP:ATP),atp_c + dgmp_c <=> adp_c + dgdp_c,ATP C10H12N5O13P3 + DGMP C10H12N5O7P <=> ADP C10H12N5O10P2 + DGDP C10H12N5O10P2
keep,DGNSK,BSU00150,0.001531463,0,Deoxyguanosine kinase,atp_c + dgsn_c --> adp_c + dgmp_c + h_c,ATP C10H12N5O13P3 + Deoxyguanosine --> ADP C10H12N5O10P2 + DGMP C10H12N5O7P + H+
keep,RNDR3,BSU17380 and BSU17390,0.001531463,0,Ribonucleoside-diphosphate reductase (CDP),BSU28500-MONOMER + cdp_c --> BSU28500-MONOMER_mod_Oxidized + dcdp_c + h2o_c,Reduced thioredoxin + CDP C9H12N3O11P2 --> Oxidized thioredoxin + DCDP C9H12N3O10P2 + H2O H2O
keep,PUNP2,BSU19630 or BSU23490,0.00153071,-0.00153071,Purine-nucleoside phosphorylase (Deoxyadenosine),dad_2_c + pi_c <=> 2dr1p_c + ade_c,Deoxyadenosine + Phosphate <=> 2-Deoxy-D-ribose 1-phosphate + Adenine
keep,DADNt2,BSU38710,0.00153071,0,Deoxyadenosine transport in via proton symport,dad_2_e + h_e --> dad_2_c + h_c,Deoxyadenosine + H+ --> Deoxyadenosine + H+
keep,DHAD3,BSU21870,0.001504895,0,Dihydroxy acid dehydratase  2 3 dihydroxy 3 methylpentanoate ,23dhmp_c --> 2o3mpt_c + h2o_c,"(R)-2,3-Dihydroxy-3-methylpentanoate -->  R  2 Oxo 3 methylpentanoate C6H9O3 + H2O H2O"
keep,RNDR1,BSU17380 and BSU17390,0.00148384,0,Ribonucleoside-diphosphate reductase (ADP),BSU28500-MONOMER + adp_c --> BSU28500-MONOMER_mod_Oxidized + dadp_c + h2o_c,Reduced thioredoxin + ADP C10H12N5O10P2 --> Oxidized thioredoxin + DADP C10H12N5O9P2 + H2O H2O
keep,GLNS,BSU17460,0.001307094,0.183319753,Glutamine synthetase,atp_c + glu__L_c + nh4_c --> adp_c + gln__L_c + h_c + pi_c,ATP C10H12N5O13P3 + L-Glutamate + Ammonium --> ADP C10H12N5O10P2 + L-Glutamine + H+ + Phosphate
keep,FACOAL140,BSU10360 or BSU10270 or BSU18250 or BSU28560,0.001304215,0,Fatty acid  CoA ligase  tetradecanoate ,atp_c + coa_c + ttdca_c <=> amp_c + ppi_c + tdcoa_c,ATP C10H12N5O13P3 + Coenzyme A + Tetradecanoate (n-C14:0) <=> AMP C10H12N5O7P + Diphosphate + Tetradecanoyl-CoA (n-C14:0CoA)
keep,KAS2,(BSU15900 and BSU11340 and BSU15910 and BSU11330 and BSU11720 and BSU04030) or (BSU15900 and BSU11340 and BSU15910 and BSU10170 and BSU08650 and BSU36370),0.001304215,0,B-ketoacyl synthetase (n-C14:0),accoa_c + 17.0 h_c + 6.0 malcoa_c + 12.0 nadph_c --> 6.0 co2_c + 7.0 coa_c + 5.0 h2o_c + 12.0 nadp_c + ttdca_c,Acetyl-CoA + 17.0 H+ + 6.0 Malonyl CoA C24H33N7O19P3S + 12.0 Nicotinamide adenine dinucleotide phosphate - reduced --> 6.0 CO2 CO2 + 7.0 Coenzyme A + 5.0 H2O H2O + 12.0 Nicotinamide adenine dinucleotide phosphate + Tetradecanoate (n-C14:0)
keep,TECA4S_BS,BSU35690 and BSU35680,0.001066267,0,Minor teichoic acid synthesis  n30 ,30.0 h2o_c + 30.0 uacgala_c + 30.0 udpg_c --> 60.0 h_c + tcam_BS_c + 30.0 udp_c + 30.0 ump_c,30.0 H2O H2O + 30.0 UDP N acetyl D galactosamine C17H25N3O17P2 + 30.0 UDPglucose --> 60.0 H+ + Minor teichoic acid  acetylgalactosamine glucose phosphate  n30  C420H750N30O420P30 + 30.0 UDP C9H11N2O12P2 + 30.0 UMP C9H11N2O9P
keep,ACACT7r,BSU32830,0.001003242,0,Acetyl-CoA C-acyltransferase (tetradecanoyl-CoA) (r),accoa_c + tdcoa_c <=> 3ohdcoa_c + coa_c,Acetyl-CoA + Tetradecanoyl-CoA (n-C14:0CoA) <=> 3-Oxohexadecanoyl-CoA + Coenzyme A
keep,PPNDH,BSU27900,0.000986258,0.007522069,Prephenate dehydratase,h_c + pphn_c --> co2_c + h2o_c + phpyr_c,H+ + Prephenate --> CO2 CO2 + H2O H2O + Phenylpyruvate
keep,CDGPT_BS,BSU16920,0.000980109,0,CDPdiacylglycerolsn glycerol 3 phosphate 3 phosphatidyltransferase,0.01 cdpdag_BS_c + glyc3p_c --> cmp_c + h_c + 0.01 pglyp_BS_c,0.01 CDPdiacylglycerol  B subtilis  C4336H7772N300O1500P200 + Glycerol 3-phosphate --> CMP C9H12N3O8P + H+ + 0.01 Phosphatidylglycerophosphate  B subtilis  C3736H7172O1300P200
keep,PGPPH_BS,,0.000980109,0,Phosphatidylglycerophosphate phosphohydrolase,h2o_c + 0.01 pglyp_BS_c --> 0.01 pgly_BS_c + pi_c,H2O H2O + 0.01 Phosphatidylglycerophosphate  B subtilis  C3736H7172O1300P200 --> 0.01 Phosphatidylglycerol  B subtils  C3736H7272O1000P100 + Phosphate
keep,PROt2r,BSU06660 or BSU30530 or BSU03220 or BSU19580,0.00081659,0,L proline reversible transport via proton symport,h_e + pro__L_e --> h_c + pro__L_c,H+ + L-Proline --> H+ + L-Proline
keep,ARGt2r,BSU33330 or BSU40330 or BSU37760,0.000798947,0,L arganine reversible transport via proton symport,arg__L_e + h_e --> arg__L_c + h_c,L-Arginine + H+ --> L-Arginine + H+
keep,PIt7,BSU25420,0.000717423,0,Phosphate transport in/out via three Na+ symporter,3.0 na1_e + pi_e --> 3.0 na1_c + pi_c,3.0 Sodium + Phosphate --> 3.0 Sodium + Phosphate
keep,FACOAL170_ISO,BSU10360 or BSU18250 or BSU10270 or BSU28560,0.00070227,0,Fatty acid  CoA ligase  Iso C170 ,atp_c + coa_c + fa11_c <=> amp_c + fa11coa_c + ppi_c,ATP C10H12N5O13P3 + Coenzyme A + Fatty acid (Iso-C17:0) <=> AMP C10H12N5O7P + Iso C170 CoA C38H64N7O17P3S1 + Diphosphate
keep,KAS11,(BSU15900 and BSU11340 and BSU15910 and BSU11330 and BSU11720 and BSU04030) or (BSU15900 and BSU11340 and BSU15910 and BSU10170 and BSU08650 and BSU36370),0.00070227,0,B-ketoacyl synthetase (Iso-C17:0),17.0 h_c + ivcoa_c + 6.0 malcoa_c + 12.0 nadph_c --> 6.0 co2_c + 7.0 coa_c + fa11_c + 5.0 h2o_c + 12.0 nadp_c,17.0 H+ + Isovaleryl-CoA + 6.0 Malonyl CoA C24H33N7O19P3S + 12.0 Nicotinamide adenine dinucleotide phosphate - reduced --> 6.0 CO2 CO2 + 7.0 Coenzyme A + Fatty acid (Iso-C17:0) + 5.0 H2O H2O + 12.0 Nicotinamide adenine dinucleotide phosphate
keep,METabc,(BSU32730 and BSU32740 and BSU32750) or (BSU29380 and BSU29370 and BSU29360 and BSU29350 and BSU29340),0.000692652,0,L-methionine transport via ABC system,atp_c + h2o_c + met__L_e --> adp_c + h_c + met__L_c + pi_c,ATP C10H12N5O13P3 + H2O H2O + L-Methionine --> ADP C10H12N5O10P2 + H+ + L-Methionine + Phosphate
keep,UGT_BS,BSU21920,0.000678204,0,UDP glucosyltransferase  diglucosyl ,0.01 12dgr_BS_c + 2.0 udpg_c --> 0.01 d12dg_BS_c + 2.0 h_c + 2.0 udp_c,0.01 1 2 diacylglycerol C3436H6672O500 + 2.0 UDPglucose --> 0.01 Diglucosyl 1 2 diacylglycerol C4636H8672O1500 + 2.0 H+ + 2.0 UDP C9H11N2O12P2
keep,OIVD2,BSU24050 and BSU24040 and BSU24030 and BSU24060,0.000601945,0,2-oxoisovalerate dehydrogenase (acylating; 3-methyl-2-oxobutanoate),3mob_c + coa_c + nad_c --> co2_c + ibcoa_c + nadh_c,3-Methyl-2-oxobutanoate + Coenzyme A + Nicotinamide adenine dinucleotide --> CO2 CO2 + Isobutyryl-CoA + Nicotinamide adenine dinucleotide - reduced
keep,HISt2r,BSU39390 or BSU02400,0.000503035,0,L histidine reversible transport via proton symport,h_e + his__L_e --> h_c + his__L_c,H+ + L-Histidine --> H+ + L-Histidine
keep,FACOAL160_ISO,BSU10270 or BSU10360 or BSU18250 or BSU28560,0.000501621,0,Fatty acid  CoA ligase  Iso C160 ,atp_c + coa_c + fa6_c <=> amp_c + fa6coa_c + ppi_c,ATP C10H12N5O13P3 + Coenzyme A + Fatty acid (iso-C16:0) <=> AMP C10H12N5O7P + Iso C160 CoA C37H62N7O17P3S1 + Diphosphate
