,FS,MC,VG,name,annotation,model
BSU24130,False,False,False,mmgE,2-methylcitrate dehydratase (promiscuous),S_Carbohydrates_and_related_molecules
BSU24170,False,False,False,mmgA,degradative acetoacetyl-CoA thiolase,S_Lipids
BSU24150,False,False,False,mmgC,propionyl-CoA dehydrogenase subunit,S_Lipids
BSU24160,False,False,False,mmgB,3-hydroxybutyryl-CoA dehydrogenase,S_Lipids
BSU24120,False,False,False,mmgF,2-methylisocitrate lyase,S_Carbohydrates_and_related_molecules
BSU24140,False,False,False,mmgD,bifunctional citrate synthase/2-methylcitrate synthase,S_Carbohydrates_and_related_molecules
BSU10790,False,False,False,asnO,asparagine synthetase (sporulation related),S_Amino_acids_and_related_molecules
BSU33630,True,True,True,secG,preprotein translocase subunit,Expression
BSU04740,False,True,True,rsbX,serine phosphatase,S_Amino_acids_and_related_molecules
BSU39260,False,False,False,bglH,aryl-phospho-beta-d-glucosidase,S_Carbohydrates_and_related_molecules
BSU07840,False,False,False,yfkN,"exported 2',3'-cyclic-nucleotide 2'-phosphodiesterase, 2' (or 3') nucleotidase and 5' nucleotidase",S_Nucleotides_and_nucleic_acids
BSU00410,False,False,False,rnmV,ribonuclease M5,Expression
BSU29200,True,False,True,accA,acetyl-CoA carboxylase (carboxyltransferase alpha subunit)acetyl-CoA carboxylase,S_Lipids
BSU29210,True,False,True,accD,acetyl-CoA carboxylase (carboxyltransferase beta subunit)acetyl-CoA carboxylase,S_Lipids
BSU40190,False,False,False,fbp,"fructose-1,6-bisphosphatase",S_Carbohydrates_and_related_molecules
BSU29790,False,True,True,murC,UDP-N-acetyl muramate-alanine ligase,S_Cell_wall
BSU00770,False,False,True,folP,dihydropteroate synthase,S_Coenzymes_and_prosthetic_groups
BSU00750,False,True,True,pabA,4-amino-4-deoxychorismate synthase; anthranilate synthase (subunit II)4-amino-4-deoxychorismate synthaseanthranilate synthase,S_Amino_acids_and_related_molecules
BSU00790,False,False,True,folK,"7,8-dihydro-6-hydroxymethylpterin pyrophosphokinase",S_Coenzymes_and_prosthetic_groups
BSU00760,False,False,True,pabC,4-amino-4-deoxychorismate pyruvate-lyase,S_Coenzymes_and_prosthetic_groups
BSU00740,False,False,True,pabB,4-amino-4-deoxychorismate synthase (para-aminobenzoate synthase)4-amino-4-deoxychorismate synthase,S_Coenzymes_and_prosthetic_groups
BSU38520,True,False,True,dltC,D-alanyl carrier protein,S_Cell_wall
BSU38530,True,False,True,dltD,D-alanine carrier protein:PG D-alanyltransferase,S_Cell_wall
BSU38510,True,False,True,dltB,PG:teichoic acid D-alanyltransferase,S_Cell_wall
BSU04730,True,False,True,sigB,"RNA polymerase, &sigma;BRNA polymerase sigma-37 factor (sigma(B))",Expression
BSU00810,False,False,False,dusB,tRNA-dihydrouridine synthase B,Expression
BSU38500,True,False,True,dltA,D-alanine--[D-alanyl carrier protein] ligase,S_Cell_wall
BSU00780,False,False,True,folB,dihydroneopterin aldolase,S_Coenzymes_and_prosthetic_groups
BSU29670,True,True,True,tyrS,tyrosyl-tRNA synthetase,Expression
BSU00820,True,True,True,lysS,lysyl-tRNA synthetase,Expression
BSU27260,False,False,False,mccA,cystathionine beta-synthase for the reverse transsulfuration pathway,S_Amino_acids_and_related_molecules
BSU00090,False,False,False,guaB,inosine-monophosphate dehydrogenase,S_Nucleotides_and_nucleic_acids
BSU03270,False,False,False,ffoR,Fur-regulated NADPH:ferredoxin oxidoreductase,S_Membrane_bioenergetics
BSU28300,False,False,False,ilvH,acetolactate synthase (acetohydroxy-acid synthase)acetohydroxy-acid synthase (small subunit),S_Amino_acids_and_related_molecules
BSU27250,False,False,False,mccB,cystathionine gamma-lyase and homocysteine gamma-lyase for reverse transsulfuration pathway,S_Amino_acids_and_related_molecules
BSU19230,False,False,False,azoJ,FMN-dependent NADH-azoreductase,S_Lipids
BSU13010,False,False,False,pgl,6-phosphogluconolactonase,S_Carbohydrates_and_related_molecules
BSU29220,False,False,False,maeB,"NADP-dependent malic enzyme (conversion of malate into pyruvate, anabolic)",S_Carbohydrates_and_related_molecules
BSU36590,False,False,False,clsA,cardiolipin synthase (major),S_Lipids
BSU40040,False,False,False,glxK,D-glycerate kinase,S_Carbohydrates_and_related_molecules
BSU38490,False,False,True,menA,"1,4-dihydroxy-2-naphthoate octaprenyltransferase",S_Coenzymes_and_prosthetic_groups
BSU00930,False,False,False,cysE,serine O-acetyltransferase,S_Amino_acids_and_related_molecules
BSU08650,False,False,False,fabL,enoyl-ACP reductase IIIenoyl-acyl carrier protein reductase III,S_Lipids
BSU27900,False,False,True,pheA,prephenate dehydratase,S_Amino_acids_and_related_molecules
BSU14860,False,False,False,pycA,pyruvate carboxylase,S_Carbohydrates_and_related_molecules
BSU06150,False,False,False,gutB,glucitol (sorbitol) dehydrogenase,S_Carbohydrates_and_related_molecules
BSU31180,False,False,False,rhaA,L-rhamnose isomerase,S_Carbohydrates_and_related_molecules
BSU31200,False,False,False,rhaB,rhamnulokinase,S_Carbohydrates_and_related_molecules
BSU27270,True,True,True,mtnN,methylthioadenosine / S-adenosylhomocysteine nucleosidase,S_Nucleotides_and_nucleic_acids
BSU40910,True,True,True,rpsF,ribosomal protein S6 (BS9),Expression
BSU37330,True,True,True,argS,arginyl-tRNA synthetase,Expression
BSU40890,True,True,True,rpsR,ribosomal protein S18,Expression
BSU09530,False,False,False,akrN,aldo/keto reductase specific for NADPH; protects against methylglyoxal,S_Carbohydrates_and_related_molecules
BSU02360,False,False,False,gamA,glucosamine-6-phosphate deaminase,S_Carbohydrates_and_related_molecules
BSU23800,False,False,False,proI,"pyrroline-5-carboxylate reductase (NADP-dependent, weak activity)",S_Amino_acids_and_related_molecules
BSU37710,False,False,False,bacD,alanine-anticapsin ligase,S_Amino_acids_and_related_molecules
BSU11220,False,True,True,argD,N-acetylornithine aminotransferase,S_Amino_acids_and_related_molecules
BSU11250,False,True,True,argF,ornithine carbamoyltransferase,S_Amino_acids_and_related_molecules
BSU11190,False,True,True,argC,N-acetylglutamate gamma-semialdehyde dehydrogenase,S_Amino_acids_and_related_molecules
BSU25270,True,True,True,glyQ,glycyl-tRNA synthetaseglycyl-tRNA synthetase (alpha subunit),Expression
BSU25260,True,True,True,glyS,glycyl-tRNA synthetaseglycyl-tRNA synthetase (beta subunit),Expression
BSU11200,False,True,True,argJ,ornithine acetyltransferase; amino-acid acetyltransferase,S_Amino_acids_and_related_molecules
BSU00940,True,True,True,cysS,dual cysteinyl-tRNA synthetase; cysteine persulfide synthase,Expression
BSU11240,False,False,False,carB,carbamoyl-phosphate synthetase Aarginine-specific carbamoyl-phosphate synthetase (large subunit),S_Amino_acids_and_related_molecules
BSU11210,False,True,True,argB,N-acetylglutamate 5-phosphotransferase (acetylglutamate kinase),S_Amino_acids_and_related_molecules
BSU11230,False,False,False,carA,carbamoyl-phosphate synthetase Aarginine-specific carbamoyl-phosphate synthetase (small subunit),S_Amino_acids_and_related_molecules
BSU11870,False,True,True,metI,cystathionine gamma-synthase and O-acetylhomoserine thiolyase,S_Amino_acids_and_related_molecules
BSU11880,False,False,False,metC,cystathionine beta-lyase,S_Amino_acids_and_related_molecules
BSU39780,False,False,False,iolS,putative aldo-keto reductase,S_Carbohydrates_and_related_molecules
BSU12920,False,False,False,dppA,D-alanyl-aminopeptidase,S_Amino_acids_and_related_molecules
BSU18410,False,False,False,ggt,membrane bound gamma-glutamyltranspeptidase,S_Amino_acids_and_related_molecules
BSU00910,False,False,True,ispF,"2-C-methyl-D-erythritol-2,4-cyclodiphosphate synthase",S_Lipids
BSU32200,False,False,False,yutJ,putative NADH dehydrogenase,S_Membrane_bioenergetics
BSU00900,False,False,True,ispD,"2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase, nonmevalonate isoprenoid pathway",S_Lipids
BSU36000,False,False,False,alsD,alpha-acetolactate decarboxylase,S_Carbohydrates_and_related_molecules
BSU21770,False,False,False,ilvA,threonine dehydratase,S_Amino_acids_and_related_molecules
BSU28230,True,True,True,tig,prolyl isomerase (trigger factor),Expression
BSU09540,True,False,True,plsC,1-acylglycerol-phosphate (1-acyl-G3P) acyltransferase,S_Lipids
BSU36010,False,False,False,alsS,alpha-acetolactate synthase,S_Amino_acids_and_related_molecules
BSU34200,True,False,True,sigL,"RNA polymerase, &sigma;LRNA polymerase sigma-54 factor (sigma-L)",Expression
BSU32250,False,True,True,thrC,threonine synthase,S_Amino_acids_and_related_molecules
BSU32260,False,True,True,hom,homoserine dehydrogenase,S_Amino_acids_and_related_molecules
BSU32240,False,True,True,thrB,homoserine kinase,S_Amino_acids_and_related_molecules
BSU16090,False,False,False,sucC,succinyl-CoA synthetase (beta subunit)succinyl-CoA synthetase,S_Carbohydrates_and_related_molecules
BSU16100,False,False,False,sucD,succinyl-CoA synthetasesuccinyl-CoA synthetase (alpha subunit),S_Carbohydrates_and_related_molecules
BSU23070,False,False,True,serA,3-phosphoglycerate dehydrogenase,S_Amino_acids_and_related_molecules
BSU28540,False,False,False,fadB,enoyl-CoA hydratase,S_Lipids
BSU28560,False,False,False,lcfA,long chain acyl-CoA ligase (degradative),S_Lipids
BSU17410,False,False,False,cwlC,N-acetylmuramoyl-L-alanine amidase (sporulation-specific),S_Cell_wall
BSU11010,False,False,True,samT,"bifunctional homocysteine S-methyltransferase using (R,S)AdoMet and methylenetetrahydrofolate reductase [NAD(P)H]",S_Coenzymes_and_prosthetic_groups
BSU03150,False,False,True,aroK,shikimate kinase,S_Amino_acids_and_related_molecules
BSU37120,False,False,False,fbaA,"fructose-1,6-bisphosphate aldolase",S_Carbohydrates_and_related_molecules
BSU32480,False,False,False,pucD,"xanthine dehydrogenasexanthine dehydrogenase, substrate and molybdenum cofactor subunit",S_Nucleotides_and_nucleic_acids
BSU23850,False,False,False,zwf,glucose-6-phosphate 1-dehydrogenase (NADP-dependent),S_Carbohydrates_and_related_molecules
BSU37110,False,False,False,tal,transaldolase,S_Carbohydrates_and_related_molecules
BSU32510,False,False,False,pucA,xanthine dehydrogenase molybdopterin recruitment factor,S_Nucleotides_and_nucleic_acids
BSU32500,False,False,False,pucB,putative molybdopterin cofactor synthesis cytidylyl transferase,S_Nucleotides_and_nucleic_acids
BSU32490,False,False,False,pucC,"xanthine dehydrogenasexanthine dehydrogenase, FAD-binding subunit",S_Nucleotides_and_nucleic_acids
BSU32470,False,False,False,pucE,"xanthine dehydrogenasexanthine dehydrogenase, iron-sulfur subunit",S_Nucleotides_and_nucleic_acids
BSU00270,False,False,False,yaaO,putative decarboxylase,S_Amino_acids_and_related_molecules
BSU00460,False,False,True,ispE,4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase,S_Carbohydrates_and_related_molecules
BSU00680,False,False,False,hprT,hypoxanthine-guanine phosphoribosyltransferase,S_Nucleotides_and_nucleic_acids
BSU25550,True,True,True,rpsT,ribosomal protein S20 (BS20),Expression
BSU00990,True,True,True,rpmGB,ribosomal protein L33,Expression
BSU00280,True,False,True,tmk,thymidylate kinase,S_Nucleotides_and_nucleic_acids
BSU00550,True,True,True,mfd,transcription-repair coupling factor,Expression
BSU01000,True,True,True,secE,preprotein translocase subunit,Expression
BSU01010,True,True,True,nusG,RNA polymerase elongation pause factor/intrinsic transcription termination factor NusG,Expression
BSU01020,True,True,True,rplK,ribosomal protein L11 (BL11),Expression
BSU01030,True,True,True,rplA,ribosomal protein L1 (BL1),Expression
BSU01080,True,True,True,rpoC,"RNA polymerase, &sigma;VRNA polymerase, &sigma;FRNA polymerase, &sigma;MRNA polymerase, &sigma;KRNA polymerase, &sigma;WRNA polymerase, &sigma;IRNA polymerase, ECF-type &sigma;RNA polymerase, &sigma;BRNA polymerase, &sigma;XRNA polymerase, core enzymeRNA polymerase, &sigma;ARNA polymerase, &sigma;ZRNA polymerase, &sigma;ERNA polymerase, two-subunit &sigma;-factorRNA polymerase, &sigma;GRNA polymerase, &sigma;YRNA polymerase, &sigma;HRNA polymerase (beta' subunit)RNA polymerase, &sigma;DRNA polymerase, &sigma;L",Expression
BSU01100,True,True,True,rpsL,ribosomal protein S12 (BS12),Expression
BSU01110,True,True,True,rpsG,ribosomal protein S7 (BS7),Expression
BSU01120,True,True,True,fusA,elongation factor G,Expression
BSU01130,True,True,True,tufA,elongation factor Tu,Expression
BSU01150,True,True,True,rpsJ,ribosomal protein S10 (BS13); transcription antitermination factor,Expression
BSU01170,True,True,True,rplD,ribosomal protein L4,Expression
BSU01160,True,True,True,rplC,ribosomal protein L3 (BL3),Expression
BSU14630,False,False,False,speA,arginine decarboxylase,S_Amino_acids_and_related_molecules
BSU14390,False,False,False,fruK,fructose-1-phosphate kinase,S_Carbohydrates_and_related_molecules
BSU30540,False,False,False,asnB,meso-diaminopimelic acid amidotransferase (asparagine synthetase),S_Amino_acids_and_related_molecules
BSU38550,False,False,False,ilvK,branched-chain amino acid aminotransferase,S_Amino_acids_and_related_molecules
BSU09290,False,False,False,glpK,glycerol kinase (sn-glycerol-3-phosphate generating),S_Carbohydrates_and_related_molecules
BSU30960,False,False,False,glgD,glucose-1-phosphate adenylyltransferaseglucose-1-phosphate adenylyltransferase (ADP-glucose pyrophosphorylase) beta subunit,S_Carbohydrates_and_related_molecules
BSU30970,False,False,False,glgC,glucose-1-phosphate adenylyltransferase (ADP-glucose pyrophosphorylase) subunit alphaglucose-1-phosphate adenylyltransferase,S_Carbohydrates_and_related_molecules
BSU40060,False,False,False,gntK,D-gluconate kinase,S_Carbohydrates_and_related_molecules
BSU35020,False,False,False,nagBA,glucosamine-6-phosphate isomerase,S_Carbohydrates_and_related_molecules
BSU30950,False,False,False,glgA,glycogen (starch) synthase,S_Carbohydrates_and_related_molecules
BSU30940,False,False,False,glgP,glycogen phosphorylase,S_Carbohydrates_and_related_molecules
BSU30980,False,False,False,glgB,"1,4-alpha-glucan branching enzyme",S_Carbohydrates_and_related_molecules
BSU35010,False,False,False,nagA,N-acetylglucosamine-6-phosphate deacetylase,S_Carbohydrates_and_related_molecules
BSU23100,False,False,False,sigX,"RNA polymerase, &sigma;XRNA polymerase ECF(extracytoplasmic function)-type sigma factor sigma(X)",Expression
BSU32840,False,False,False,fadN,bifunctional enoyl-CoA hydratase / 3-hydroxyacyl-CoA dehydrogenase,S_Lipids
BSU32820,False,False,False,fadE,acyl-CoA dehydrogenase (FAD dependent),S_Lipids
BSU17460,False,True,True,glnA,glutamine synthetase,S_Amino_acids_and_related_molecules
BSU32830,False,False,False,fadA,acetyl-CoA C-acyltransferase,S_Lipids
BSU03300,False,False,False,nasD,assimilatory nitrite reductase subunitassimilatory nitrite reductase,S_Amino_acids_and_related_molecules
BSU03280,False,False,False,nasF,uroporphyrin-III C-methyltransferase,S_Coenzymes_and_prosthetic_groups
BSU03290,False,False,False,nasE,assimilatory nitrite reductase subunitassimilatory nitrite reductase,S_Amino_acids_and_related_molecules
BSU11720,False,False,False,fabI,enoyl-acyl carrier protein reductase,S_Lipids
BSU03990,False,False,False,mtlD,mannitol-1-phosphate 5-dehydrogenase,S_Carbohydrates_and_related_molecules
BSU27940,True,True,True,rpmA,ribosomal protein L27 (BL24),Expression
BSU38110,False,False,False,nfrAA,FMN-containing NADPH-linked nitro/flavin reductase,S_Membrane_bioenergetics
BSU01070,True,True,True,rpoB,"RNA polymerase, &sigma;VRNA polymerase, &sigma;FRNA polymerase, &sigma;MRNA polymerase, &sigma;KRNA polymerase, &sigma;WRNA polymerase, &sigma;IRNA polymerase, ECF-type &sigma;RNA polymerase (beta subunit)RNA polymerase, &sigma;BRNA polymerase, &sigma;XRNA polymerase, core enzymeRNA polymerase, &sigma;ARNA polymerase, &sigma;ZRNA polymerase, &sigma;ERNA polymerase, two-subunit &sigma;-factorRNA polymerase, &sigma;GRNA polymerase, &sigma;YRNA polymerase, &sigma;HRNA polymerase, &sigma;DRNA polymerase, &sigma;L",Expression
BSU40420,False,False,True,purA,adenylosuccinate synthetase,S_Nucleotides_and_nucleic_acids
BSU32110,False,False,False,trxBB,ferredoxin/flavodoxin&mdash;NADP<sup>+</sup> reductase,S_Membrane_bioenergetics
BSU22070,False,False,False,xpt,xanthine phosphoribosyltransferase,S_Nucleotides_and_nucleic_acids
BSU08820,False,False,False,katA,vegetative catalase 1,S_Other_function
BSU00130,True,True,True,serS,seryl-tRNA synthetase,Expression
BSU15140,True,True,True,rsmH,putative 16S rRNA m4C1402 methyltransferase,Expression
BSU01780,False,False,True,glmS,L-glutamine-D-fructose-6-phosphate amidotransferase,S_Amino_acids_and_related_molecules
BSU28950,True,True,True,thrS,threonyl-tRNA synthetase,Expression
BSU23080,False,False,True,aroC,3-dehydroquinate dehydratase,S_Amino_acids_and_related_molecules
BSU39050,False,False,False,katE,catalase 2,S_Other_function
BSU03040,False,False,False,amyE,alpha-amylase,S_Carbohydrates_and_related_molecules
BSU24410,False,True,,spoIIIAC,stage III sporulation protein (feeding tube apparatus),S_Transport
BSU24370,False,True,,spoIIIAG,stage III sporulation engulfment assembly protein,S_Transport
BSU24390,False,True,,spoIIIAE,stage III sporulation protein (feeding tube apparatus),S_Transport
BSU24360,False,True,,spoIIIAH,stage III sporulation ratchet engulfment proteinSpoIIIAH-SpoIIQ complex,S_Transport
BSU24430,False,True,,spoIIIAA,ATP-binding stage III sporulation protein,S_Transport
BSU24380,False,True,,spoIIIAF,stage III sporulation protein (feeding tube apparatus),S_Transport
BSU24400,False,True,,spoIIIAD,stage III sporulation protein (feeding tube apparatus),S_Transport
BSU24420,False,True,,spoIIIAB,stage III sporulation protein (feeding tube apparatus),S_Transport
BSU10170,False,False,False,fabHB,beta-ketoacyl-acyl carrier protein synthase III 2,S_Lipids
BSU35720,True,False,True,tagF,CDP-glycerol:polyglycerol phosphate glycero-phosphotransferase (poly(glycerol phosphate) polymerase),S_Cell_wall
BSU39540,False,False,False,yxeI,penicillin V amidasepenicillin amidohydrolase,S_Other_function
BSU12300,False,False,False,uxaC,galacturonate isomerase,S_Carbohydrates_and_related_molecules
BSU12340,False,False,False,uxuA,D-mannonate dehydratase,S_Carbohydrates_and_related_molecules
BSU35740,True,False,True,tagD,glycerol-3-phosphate cytidylyltransferase monomerglycerol-3-phosphate cytidylyltransferase,S_Cell_wall
BSU35730,True,False,True,tagE,UDP-glucose:polyglycerol phosphate alpha-glucosyltransferase,S_Cell_wall
BSU12330,False,False,False,yjmD,putative oxidoreductase,S_Carbohydrates_and_related_molecules
BSU12380,False,False,False,uxaB,tagaturonate reductase (altronate oxidoreductase),S_Carbohydrates_and_related_molecules
BSU12390,False,False,False,uxaA,altronate dehydratase,S_Carbohydrates_and_related_molecules
BSU38290,False,False,False,thiE,thiamine-phosphate pyrophosphorylase (thiamine phosphate synthase),S_Coenzymes_and_prosthetic_groups
BSU38300,False,False,False,thiM,5-(2-hydroxyethyl)-4-methylthiazole kinasehydroxyethylthiazole kinase,S_Coenzymes_and_prosthetic_groups
BSU33400,False,False,False,pgoN,promiscuous glyoxal/methylglyoxal reductase,S_Carbohydrates_and_related_molecules
BSU13170,False,False,False,guaN,guanine deaminase,S_Nucleotides_and_nucleic_acids
BSU23450,True,False,False,sigF,"RNA polymerase, &sigma;FRNA polymerase sporulation-specific sigma factor (sigma-F)",Expression
BSU38630,False,False,False,katX,major catalase in spores,S_Other_function
BSU27600,False,False,False,rsh,GTP pyrophosphokinase (RelA/SpoT),S_Nucleotides_and_nucleic_acids
BSU15320,False,True,False,sigE,"RNA polymerase, &sigma;ERNA polymerase sporulation-specific sigma-29 factor (sigma-E)",Expression
BSU29620,False,True,True,hisK,histidinol phosphate phosphatase,S_Amino_acids_and_related_molecules
BSU23570,False,False,False,ansB,L-aspartase (aspartate ammonia lyase),S_Amino_acids_and_related_molecules
BSU23580,False,False,False,ansA,exported L-asparaginase,S_Amino_acids_and_related_molecules
BSU23860,False,False,False,gndA,NADP<sup>+</sup>-dependent 6-P-gluconate dehydrogenase,S_Carbohydrates_and_related_molecules
BSU09840,False,False,False,hemZ,coproporphyrinogen III oxidase,S_Coenzymes_and_prosthetic_groups
BSU23270,False,False,True,ribE,"riboflavin synthase, light enzymelumazine synthase/riboflavin synthase complexriboflavin synthase (alpha subunit)",S_Coenzymes_and_prosthetic_groups
BSU23280,False,False,True,ribD,fused diaminohydroxyphosphoribosylaminopyrimidine deaminase; 5-amino-6-(5-phosphoribosylamino) uracil reductase,S_Coenzymes_and_prosthetic_groups
BSU23260,False,False,True,ribBA,"fused 3,4-dihydroxy-2-butanone 4-phosphate synthase and GTP cyclohydrolase II",S_Coenzymes_and_prosthetic_groups
BSU23250,False,False,True,ribH,"6,7-dimethyl-8-ribityllumazine synthase, beta subunit6,7-dimethyl-8-ribityllumazine synthaselumazine synthase/riboflavin synthase complex",S_Coenzymes_and_prosthetic_groups
BSU31930,False,False,False,ald,L-alanine dehydrogenase (NAD-dependent),S_Amino_acids_and_related_molecules
BSU37500,False,False,False,speE,spermidine synthase; polyamine metabolism,S_Amino_acids_and_related_molecules
BSU37490,False,False,False,speB,agmatinase,S_Amino_acids_and_related_molecules
BSU17600,False,False,False,xylA,xylose isomerase,S_Carbohydrates_and_related_molecules
BSU17610,False,False,False,xylB,xylulose kinase,S_Carbohydrates_and_related_molecules
BSU03790,False,False,False,thrD,aspartate kinase III,S_Amino_acids_and_related_molecules
BSU00180,False,False,False,tadA,tRNA specific adenosine A34 deaminase,S_Nucleotides_and_nucleic_acids
BSU29660,True,True,True,rpsD,ribosomal protein S4 (BS4),Expression
BSU08180,False,False,False,malA,6-phospho-alpha-glucosidase,S_Carbohydrates_and_related_molecules
BSU02230,False,False,False,purT,phosphoribosylglycinamide formyltransferase 2,S_Nucleotides_and_nucleic_acids
BSU33910,False,False,False,pgm,phosphoglycerate mutase,S_Carbohydrates_and_related_molecules
BSU36550,True,False,,spoIIQ,forespore protein required for alternative engulfmentSpoIIIAH-SpoIIQ complex,Expression
BSU36900,True,True,True,glyA,serine hydroxymethyltransferase,S_Amino_acids_and_related_molecules
BSU33920,False,False,False,tpiA,triose phosphate isomerase,S_Carbohydrates_and_related_molecules
BSU33930,False,False,False,pgk,phosphoglycerate kinase,S_Carbohydrates_and_related_molecules
BSU33940,False,False,False,gapA,"glyceraldehyde-3-phosphate dehydrogenase (NAD-dependent, glycolytic)",S_Carbohydrates_and_related_molecules
